Nome do Jogador,Clube,Posição,Idade,Ano de Nascimento,Valor de Mercado (texto),Valor de Mercado (€)
Ederson,Manchester City,Goalkeeper,"17,",Aug,€25.00m,
Stefan Ortega,Manchester City,Goalkeeper,"6,",Nov,€9.00m,
Scott Carson,Manchester City,Goalkeeper,"3,",Sep,€200k,
Rúben Dias,Manchester City,Centre-Back,"14,",May,€70.00m,
Abdukodir Khusanov,Manchester City,Centre-Back,"29,",Feb,€35.00m,
Nathan Aké,Manchester City,Centre-Back,"18,",Feb,€32.00m,
Manuel Akanji,Manchester City,Centre-Back,"19,",Jul,€32.00m,
John Stones,Manchester City,Centre-Back,"28,",May,€30.00m,
Vitor Reis,Manchester City,Centre-Back,"12,",Jan,€30.00m,
Josko Gvardiol,Manchester City,Left-Back,"23,",Jan,€75.00m,
Rico Lewis,Manchester City,Right-Back,"21,",Nov,€40.00m,
Rodri,Manchester City,Defensive Midfield,"22,",Jun,€130.00m,
Nico González,Manchester City,Central Midfield,"3,",Jan,€40.00m,
Matheus Nunes,Manchester City,Central Midfield,"27,",Aug,€35.00m,
Mateo Kovacic,Manchester City,Central Midfield,"6,",May,€25.00m,
İlkay Gündoğan,Manchester City,Central Midfield,"24,",Oct,€7.00m,
Bernardo Silva,Manchester City,Attacking Midfield,"10,",Aug,€45.00m,
Kevin De Bruyne,Manchester City,Attacking Midfield,"28,",Jun,€27.00m,
Claudio Echeverri,Manchester City,Attacking Midfield,"2,",Jan,€18.00m,
James McAtee,Manchester City,Attacking Midfield,"18,",Oct,€18.00m,
Nico O'Reilly,Manchester City,Attacking Midfield,"21,",Mar,€7.00m,
Jérémy Doku,Manchester City,Left Winger,"27,",May,€55.00m,
Jack Grealish,Manchester City,Left Winger,"10,",Sep,€35.00m,
Phil Foden,Manchester City,Right Winger,"28,",May,€130.00m,
Savinho,Manchester City,Right Winger,"10,",Apr,€55.00m,
Oscar Bobb,Manchester City,Right Winger,"12,",Jul,€25.00m,
Erling Haaland,Manchester City,Centre-Forward,"21,",Jul,€200.00m,
Omar Marmoush,Manchester City,Centre-Forward,"7,",Feb,€75.00m,
David Raya,Arsenal,Goalkeeper,"15,",Sep,€40.00m,
Neto,Arsenal,Goalkeeper,"19,",Jul,€2.00m,
William Saliba,Arsenal,Centre-Back,"24,",Mar,€80.00m,
Gabriel Magalhães,Arsenal,Centre-Back,"19,",Dec,€75.00m,
Jakub Kiwior,Arsenal,Centre-Back,"15,",Feb,€22.00m,
Riccardo Calafiori,Arsenal,Left-Back,"19,",May,€40.00m,
Myles Lewis-Skelly,Arsenal,Left-Back,"26,",Sep,€28.00m,
Oleksandr Zinchenko,Arsenal,Left-Back,"15,",Dec,€22.00m,
Kieran Tierney,Arsenal,Left-Back,"5,",Jun,€10.00m,
Ben White,Arsenal,Right-Back,"8,",Oct,€50.00m,
Jurrien Timber,Arsenal,Right-Back,"17,",Jun,€50.00m,
Takehiro Tomiyasu,Arsenal,Right-Back,"5,",Nov,€25.00m,
Thomas Partey,Arsenal,Defensive Midfield,"13,",Jun,€15.00m,
Jorginho,Arsenal,Defensive Midfield,"20,",Dec,€8.00m,
Declan Rice,Arsenal,Central Midfield,"14,",Jan,€110.00m,
Mikel Merino,Arsenal,Central Midfield,"22,",Jun,€35.00m,
Martin Ødegaard,Arsenal,Attacking Midfield,"17,",Dec,€100.00m,
Gabriel Martinelli,Arsenal,Left Winger,"18,",Jun,€55.00m,
Leandro Trossard,Arsenal,Left Winger,"4,",Dec,€30.00m,
Bukayo Saka,Arsenal,Right Winger,"5,",Sep,€150.00m,
Ethan Nwaneri,Arsenal,Right Winger,"21,",Mar,€55.00m,
Raheem Sterling,Arsenal,Right Winger,"8,",Dec,€15.00m,
Kai Havertz,Arsenal,Centre-Forward,"11,",Jun,€70.00m,
Gabriel Jesus,Arsenal,Centre-Forward,"3,",Apr,€40.00m,
Alisson,Liverpool,Goalkeeper,"2,",Oct,€25.00m,
Caoimhín Kelleher,Liverpool,Goalkeeper,"23,",Nov,€22.00m,
Vitezslav Jaros,Liverpool,Goalkeeper,"23,",Jul,€5.00m,
Harvey Davies,Liverpool,Goalkeeper,"3,",Sep,€500k,
Ibrahima Konaté,Liverpool,Centre-Back,"25,",May,€60.00m,
Virgil van Dijk,Liverpool,Centre-Back,"8,",Jul,€28.00m,
Joe Gomez,Liverpool,Centre-Back,"23,",May,€25.00m,
