Season,Position,Team,Played,Won,Drawn,Lost,GF,GA,GD,Points
2002/03,1,Man United,38,25,8,5,74.0,34.0,40.0,83
2002/03,2,Arsenal,38,23,9,6,85.0,42.0,43.0,78
2002/03,3,Newcastle,38,21,6,11,63.0,48.0,15.0,69
2002/03,4,Chelsea,38,19,10,9,68.0,38.0,30.0,67
2002/03,5,Liverpool,38,18,10,10,61.0,41.0,20.0,64
2002/03,6,Blackburn,38,16,12,10,52.0,43.0,9.0,60
2002/03,7,Everton,38,17,8,13,48.0,49.0,-1.0,59
2002/03,8,Southampton,38,13,13,12,43.0,46.0,-3.0,52
2002/03,9,Man City,38,15,6,17,47.0,54.0,-7.0,51
2002/03,10,Tottenham,38,14,8,16,51.0,62.0,-11.0,50
2002/03,11,Middlesbrough,38,13,10,15,48.0,44.0,4.0,49
2002/03,12,Charlton,38,14,7,17,45.0,56.0,-11.0,49
2002/03,13,Birmingham,38,13,9,16,41.0,49.0,-8.0,48
2002/03,14,Fulham,38,13,9,16,41.0,50.0,-9.0,48
2002/03,15,Leeds,38,14,5,19,58.0,57.0,1.0,47
2002/03,16,Aston Villa,38,12,9,17,42.0,47.0,-5.0,45
2002/03,17,Bolton,38,10,14,14,41.0,51.0,-10.0,44
2002/03,18,West Ham,38,10,12,16,42.0,59.0,-17.0,42
2002/03,19,West Brom,38,6,8,24,29.0,65.0,-36.0,26
2002/03,20,Sunderland,38,4,7,27,21.0,65.0,-44.0,19
2003/04,1,Arsenal,33,22,11,0,61.0,23.0,38.0,77
2003/04,2,Chelsea,33,22,5,6,63.0,27.0,36.0,71
2003/04,3,Man United,34,20,6,8,59.0,33.0,26.0,66
2003/04,4,Liverpool,33,15,10,8,48.0,31.0,17.0,55
2003/04,5,Newcastle,34,13,13,8,47.0,35.0,12.0,52
2003/04,6,Aston Villa,34,14,9,11,42.0,37.0,5.0,51
2003/04,7,Birmingham,34,12,12,10,39.0,41.0,-2.0,48
2003/04,8,Bolton,34,12,10,12,42.0,51.0,-9.0,46
2003/04,9,Fulham,33,12,9,12,45.0,41.0,4.0,45
2003/04,10,Charlton,34,12,9,13,46.0,48.0,-2.0,45
2003/04,11,Middlesbrough,35,12,8,15,40.0,46.0,-6.0,44
2003/04,12,Tottenham,33,12,5,16,43.0,50.0,-7.0,41
2003/04,13,Southampton,33,10,10,13,32.0,35.0,-3.0,40
2003/04,14,Blackburn,33,10,7,16,44.0,49.0,-5.0,37
2003/04,15,Man City,33,8,11,14,44.0,45.0,-1.0,35
2003/04,16,Portsmouth,34,9,8,17,37.0,51.0,-14.0,35
2003/04,17,Everton,34,8,10,16,40.0,50.0,-10.0,34
2003/04,18,Leicester,33,6,15,12,45.0,56.0,-11.0,33
2003/04,19,Wolves,33,7,10,16,32.0,65.0,-33.0,31
2003/04,20,Leeds,33,6,8,19,34.0,69.0,-35.0,26
2004/05,1,Chelsea,33,25,7,1,62.0,12.0,50.0,82
2004/05,2,Arsenal,33,21,8,4,73.0,33.0,40.0,71
2004/05,3,Man United,33,19,10,4,48.0,20.0,28.0,67
2004/05,4,Everton,33,17,6,10,40.0,33.0,7.0,57
2004/05,5,Liverpool,34,16,6,12,48.0,35.0,13.0,54
2004/05,6,Bolton,34,15,8,11,44.0,38.0,6.0,53
2004/05,7,Tottenham,34,13,9,12,42.0,38.0,4.0,48
2004/05,8,Middlesbrough,33,12,10,11,46.0,44.0,2.0,46
2004/05,9,Aston Villa,34,12,10,12,41.0,42.0,-1.0,46
2004/05,10,Charlton,34,12,9,13,40.0,50.0,-10.0,45
2004/05,11,Man City,34,11,11,12,42.0,37.0,5.0,44
2004/05,12,Blackburn,33,9,12,12,29.0,37.0,-8.0,39
2004/05,13,Birmingham,34,9,11,14,35.0,42.0,-7.0,38
2004/05,14,Newcastle,32,9,11,12,42.0,51.0,-9.0,38
2004/05,15,Fulham,33,9,8,16,39.0,53.0,-14.0,35
2004/05,16,Portsmouth,34,9,8,17,38.0,53.0,-15.0,35
2004/05,17,West Brom,33,5,14,14,32.0,53.0,-21.0,29
2004/05,18,Southampton,34,5,13,16,37.0,55.0,-18.0,28
2004/05,19,Crystal Palace,34,6,9,19,36.0,58.0,-22.0,27
2004/05,20,Norwich,34,5,12,17,37.0,67.0,-30.0,27
2005/06,1,Chelsea,38,29,4,5,72.0,22.0,50.0,91
2005/06,2,Man United,38,25,8,5,72.0,34.0,38.0,83
2005/06,3,Liverpool,38,25,7,6,57.0,25.0,32.0,82
2005/06,4,Arsenal,38,20,7,11,68.0,31.0,37.0,67
2005/06,5,Tottenham,38,18,11,9,53.0,38.0,15.0,65
2005/06,6,Blackburn,38,19,6,13,51.0,42.0,9.0,63
2005/06,7,Newcastle,38,17,7,14,47.0,42.0,5.0,58
2005/06,8,Bolton,38,15,11,12,49.0,41.0,8.0,56
2005/06,9,West Ham,38,16,7,15,52.0,55.0,-3.0,55
2005/06,10,Wigan,38,15,6,17,45.0,52.0,-7.0,51
2005/06,11,Everton,38,14,8,16,34.0,49.0,-15.0,50
2005/06,12,Fulham,38,14,6,18,48.0,58.0,-10.0,48
2005/06,13,Charlton,38,13,8,17,41.0,55.0,-14.0,47
2005/06,14,Middlesbrough,38,12,9,17,48.0,58.0,-10.0,45
2005/06,15,Man City,38,13,4,21,43.0,48.0,-5.0,43
2005/06,16,Aston Villa,38,10,12,16,42.0,55.0,-13.0,42
2005/06,17,Portsmouth,38,10,8,20,37.0,62.0,-25.0,38
2005/06,18,Birmingham,38,8,10,20,28.0,50.0,-22.0,34
2005/06,19,West Brom,38,7,9,22,31.0,58.0,-27.0,30
2005/06,20,Sunderland,38,3,6,29,26.0,69.0,-43.0,15
2006/07,1,Man United,38,28,5,5,83.0,27.0,56.0,89
2006/07,2,Chelsea,38,24,11,3,64.0,24.0,40.0,83
2006/07,3,Liverpool,38,20,8,10,57.0,27.0,30.0,68
2006/07,4,Arsenal,38,19,11,8,63.0,35.0,28.0,68
2006/07,5,Tottenham,38,17,9,12,57.0,54.0,3.0,60
2006/07,6,Everton,38,15,13,10,52.0,36.0,16.0,58
2006/07,7,Bolton,38,16,8,14,47.0,52.0,-5.0,56
2006/07,8,Reading,38,16,7,15,52.0,47.0,5.0,55
2006/07,9,Portsmouth,38,14,12,12,45.0,42.0,3.0,54
2006/07,10,Blackburn,38,15,7,16,52.0,54.0,-2.0,52
2006/07,11,Aston Villa,38,11,17,10,43.0,41.0,2.0,50
2006/07,12,Middlesbrough,38,12,10,16,44.0,49.0,-5.0,46
2006/07,13,Newcastle,38,11,10,17,38.0,47.0,-9.0,43
2006/07,14,Man City,38,11,9,18,29.0,44.0,-15.0,42
2006/07,15,West Ham,38,12,5,21,35.0,59.0,-24.0,41
2006/07,16,Fulham,38,8,15,15,38.0,60.0,-22.0,39
2006/07,17,Wigan,38,10,8,20,37.0,59.0,-22.0,38
2006/07,18,Sheffield United,38,10,8,20,32.0,55.0,-23.0,38
2006/07,19,Charlton,38,8,10,20,34.0,60.0,-26.0,34
2006/07,20,Watford,38,5,13,20,29.0,59.0,-30.0,28
2007/08,1,Man United,38,27,6,5,80.0,22.0,58.0,87
2007/08,2,Chelsea,38,25,10,3,65.0,26.0,39.0,85
2007/08,3,Arsenal,38,24,11,3,74.0,31.0,43.0,83
2007/08,4,Liverpool,38,21,13,4,67.0,28.0,39.0,76
2007/08,5,Everton,38,19,8,11,55.0,33.0,22.0,65
2007/08,6,Aston Villa,38,16,12,10,71.0,51.0,20.0,60
2007/08,7,Blackburn,38,15,13,10,50.0,48.0,2.0,58
2007/08,8,Portsmouth,38,16,9,13,48.0,40.0,8.0,57
2007/08,9,Man City,38,15,10,13,45.0,53.0,-8.0,55
2007/08,10,West Ham,38,13,10,15,42.0,50.0,-8.0,49
2007/08,11,Tottenham,38,11,13,14,66.0,61.0,5.0,46
2007/08,12,Newcastle,38,11,10,17,45.0,65.0,-20.0,43
2007/08,13,Middlesbrough,38,10,12,16,43.0,53.0,-10.0,42
2007/08,14,Wigan,38,10,10,18,34.0,51.0,-17.0,40
2007/08,15,Sunderland,38,11,6,21,36.0,59.0,-23.0,39
2007/08,16,Bolton,38,9,10,19,36.0,54.0,-18.0,37
2007/08,17,Fulham,38,8,12,18,38.0,60.0,-22.0,36
2007/08,18,Reading,38,10,6,22,41.0,66.0,-25.0,36
2007/08,19,Birmingham,38,8,11,19,46.0,62.0,-16.0,35
2007/08,20,Derby,38,1,8,29,20.0,89.0,-69.0,11
2008/09,1,Man United,38,28,6,4,68.0,24.0,44.0,90
2008/09,2,Liverpool,38,25,11,2,77.0,27.0,50.0,86
2008/09,3,Chelsea,38,25,8,5,68.0,24.0,44.0,83
2008/09,4,Arsenal,38,20,12,6,68.0,37.0,31.0,72
2008/09,5,Everton,38,17,12,9,55.0,37.0,18.0,63
2008/09,6,Aston Villa,38,17,11,10,54.0,48.0,6.0,62
2008/09,7,Fulham,38,14,11,13,39.0,34.0,5.0,53
2008/09,8,Tottenham,38,14,9,15,45.0,45.0,0.0,51
2008/09,9,West Ham,38,14,9,15,42.0,45.0,-3.0,51
2008/09,10,Man City,38,15,5,18,58.0,50.0,8.0,50
2008/09,11,Wigan,38,12,9,17,34.0,45.0,-11.0,45
2008/09,12,Stoke,38,12,9,17,38.0,55.0,-17.0,45
2008/09,13,Bolton,38,11,8,19,41.0,53.0,-12.0,41
2008/09,14,Portsmouth,38,10,11,17,38.0,57.0,-19.0,41
2008/09,15,Blackburn,38,10,11,17,40.0,60.0,-20.0,41
2008/09,16,Sunderland,38,9,9,20,34.0,54.0,-20.0,36
2008/09,17,Hull,38,8,11,19,39.0,64.0,-25.0,35
2008/09,18,Newcastle,38,7,13,18,40.0,59.0,-19.0,34
2008/09,19,Middlesbrough,38,7,11,20,28.0,57.0,-29.0,32
2008/09,20,West Brom,38,8,8,22,36.0,67.0,-31.0,32
2009/10,1,Chelsea,38,27,5,6,103.0,32.0,71.0,86
2009/10,2,Man United,38,27,4,7,86.0,28.0,58.0,85
2009/10,3,Arsenal,38,23,6,9,83.0,41.0,42.0,75
2009/10,4,Tottenham,38,21,7,10,67.0,41.0,26.0,70
2009/10,5,Man City,38,18,13,7,73.0,45.0,28.0,67
2009/10,6,Aston Villa,38,17,13,8,52.0,39.0,13.0,64
2009/10,7,Liverpool,38,18,9,11,61.0,35.0,26.0,63
2009/10,8,Everton,38,16,13,9,60.0,49.0,11.0,61
2009/10,9,Birmingham,38,13,11,14,38.0,47.0,-9.0,50
2009/10,10,Blackburn,38,13,11,14,41.0,55.0,-14.0,50
2009/10,11,Stoke,38,11,14,13,34.0,48.0,-14.0,47
2009/10,12,Fulham,38,12,10,16,39.0,46.0,-7.0,46
2009/10,13,Sunderland,38,11,11,16,48.0,56.0,-8.0,44
2009/10,14,Bolton,38,10,9,19,42.0,67.0,-25.0,39
2009/10,15,Wolves,38,9,11,18,32.0,56.0,-24.0,38
2009/10,16,Wigan,38,9,9,20,37.0,79.0,-42.0,36
2009/10,17,West Ham,38,8,11,19,47.0,66.0,-19.0,35
2009/10,18,Burnley,38,8,6,24,42.0,82.0,-40.0,30
2009/10,19,Hull,38,6,12,20,34.0,75.0,-41.0,30
2009/10,20,Portsmouth,38,7,7,24,34.0,66.0,-32.0,28
2010/11,1,Man United,38,23,11,4,78.0,37.0,41.0,80
2010/11,2,Chelsea,38,21,8,9,69.0,33.0,36.0,71
2010/11,3,Man City,38,21,8,9,60.0,33.0,27.0,71
2010/11,4,Arsenal,38,19,11,8,72.0,43.0,29.0,68
2010/11,5,Tottenham,38,16,14,8,55.0,46.0,9.0,62
2010/11,6,Liverpool,38,17,7,14,59.0,44.0,15.0,58
2010/11,7,Everton,38,13,15,10,51.0,45.0,6.0,54
2010/11,8,Fulham,38,11,16,11,49.0,43.0,6.0,49
2010/11,9,Aston Villa,38,12,12,14,48.0,59.0,-11.0,48
2010/11,10,Sunderland,38,12,11,15,45.0,56.0,-11.0,47
2010/11,11,West Brom,38,12,11,15,56.0,71.0,-15.0,47
2010/11,12,Newcastle,38,11,13,14,56.0,57.0,-1.0,46
2010/11,13,Stoke,38,13,7,18,46.0,48.0,-2.0,46
2010/11,14,Bolton,38,12,10,16,52.0,56.0,-4.0,46
2010/11,15,Blackburn,38,11,10,17,46.0,59.0,-13.0,43
2010/11,16,Wigan,38,9,15,14,40.0,61.0,-21.0,42
2010/11,17,Wolves,38,11,7,20,46.0,66.0,-20.0,40
2010/11,18,Birmingham,38,8,15,15,37.0,58.0,-21.0,39
2010/11,19,Blackpool,38,10,9,19,55.0,78.0,-23.0,39
2010/11,20,West Ham,38,7,12,19,43.0,70.0,-27.0,33
2011/12,1,Man City,38,28,5,5,93.0,29.0,64.0,89
2011/12,2,Man United,38,28,5,5,89.0,33.0,56.0,89
2011/12,3,Arsenal,38,21,7,10,74.0,49.0,25.0,70
2011/12,4,Tottenham,38,20,9,9,66.0,41.0,25.0,69
2011/12,5,Newcastle,38,19,8,11,56.0,51.0,5.0,65
2011/12,6,Chelsea,38,18,10,10,65.0,46.0,19.0,64
2011/12,7,Everton,38,15,11,12,50.0,40.0,10.0,56
2011/12,8,Liverpool,38,14,10,14,47.0,40.0,7.0,52
2011/12,9,Fulham,38,14,10,14,48.0,51.0,-3.0,52
2011/12,10,West Brom,38,13,8,17,45.0,52.0,-7.0,47
